entrezgene	FC	pvalue
100524501	1.225840141	0.078224424
100524872	-1.752666857	0.000307941
397591	2.299948276	7.70E-05
100511642	1.586942982	0.000247083
100511088	-1.857885825	0.000528961
100511266	2.465641872	0.003424688
100511459	2.225721815	0.008229036
100037274	-1.533096167	0.019792457
100514526	-1.631747653	0.087350862
100626409	1.735677326	0.03097967
100517591	1.55891393	0.000851542
100737982	2.506297916	0.003230276
100738545	1.179616993	0.062206717
414756	4.414614983	7.06E-05
100522145	568.3738912	0.000359921
100525523	2.261980329	0.002867729
100525703	1.7057615	0.005553583
100525995	-1.39703047	0.002293079
100511643	-1.149020708	0.06626947
733697	-13.87915941	0.000685396
397104	1.937074787	0.00732357
733656	-1.333127838	0.000502387
100515841	-1.417452618	0.008299857
100518613	-1.459404184	0.000592084
100270821	1.531378273	0.061421685
406190	11.31670498	0.001692224
100520620	-2.700987546	0.00018095
397566	-1.401396711	0.01350402
100521457	1.699685486	0.001787369
100523071	-1.322075553	0.011302184
100523255	-4.079006322	1.92E-05
110261221	2.754675292	0.000473189
100621407	2.754675292	0.000473189
100524750	2.754675292	0.000473189
100626843	-1.362033511	0.015610877
100512419	2.361482353	0.000262732
100513360	-1.23434707	0.057391815
100187577	7.517918505	2.83E-05
100519318	-1.31413336	0.008815575
100520746	-6.562376547	0.004417729
100517534	1.297368265	0.008315847
100518076	-1.256069944	0.007590582
100518433	3.428833027	0.000631022
100515210	-2.482293262	0.000300973
100518974	1.159474821	0.093244396
100738460	1.558178774	0.045945849
100525052	1.196305511	0.067668933
100141305	-3.026837586	0.000312769
100511571	3.343696292	0.002006789
100513361	-1.581175964	0.032084648
100516861	-1.296581704	0.007977597
100516205	-3.678117317	0.001388631
100517478	-1.197072046	0.052737181
100517766	1.44889915	0.027159074
397379	-4.609058357	5.85E-05
100519374	1.743444183	0.000162495
100523448	-1.353192564	0.006132775
100523850	1.193641078	0.094126211
100525292	1.931640398	0.039460656
100512237	-1.351357507	0.099994148
102158443	-1.523451238	0.003648069
100517165	-1.378816447	0.008476464
100512199	-1.270390679	0.038667948
100515286	-1.743369305	0.002794844
100142677	5.078667174	0.000589953
100153485	-1.303683913	0.020269472
100152303	2.19293635	0.000383129
100157533	1.305981588	0.072054021
100156434	-3.636489657	0.015908536
100512874	-1.174890467	0.081590866
100514379	-3.721175532	0.000121172
100157036	-1.422944195	0.032589027
100157847	-1.22253751	0.041058989
100521302	-10.39983356	0.018827941
100154567	-1.689405091	0.005634094
100156182	1.36573284	0.003240848
100152912	1.543016994	0.064222221
100154940	1.198151957	0.099994148
100511292	2.307257923	0.006588282
100155445	-1.201195966	0.04872931
100156022	5.04588538	0.000112288
100156257	-2.211268825	2.37E-05
100622156	1.475079417	0.004879026
100152238	1.555733414	0.035691124
100622457	2.624853392	0.000368639
100152228	-1.481824874	0.003403593
100462726	-1.342734979	0.005320156
100157026	-3.127255553	0.058482739
100517381	-2.395999084	0.022997232
397650	-1.234879925	0.01591338
100153984	2.202492881	0.092250338
100151998	-1.473134275	0.081118667
100152141	13.16077235	2.53E-05
100524836	-1.378700624	0.010856927
100153609	2.172675237	7.21E-05
100512509	2.725016262	0.009432139
100157226	-1.412117749	0.010017438
100515246	7.203082384	0.00196012
100153442	1.738843804	0.011260484
100154234	-1.19851445	0.040565322
100518636	-1.677331543	0.060784707
396919	3.83503453	2.85E-05
100626155	7.285069001	0.007747485
100519343	-1.260737703	0.094680606
100520524	1.437801732	0.046974737
100156679	1.220310357	0.050838982
397220	-1.598295468	0.000708865
100153685	1.256346237	0.038140356
100153138	-1.614678948	0.080171429
100152355	-7.785895777	0.005799167
100516163	1.516718247	0.03915041
100152747	-2.240872767	0.004845794
100157995	2.629172607	0.009281569
100518457	-1.548594121	0.002190727
100519878	-1.260761237	0.02044478
768104	1.606632872	0.000578648
100156654	1.56727808	0.004173109
100523036	-1.378988025	0.083852185
100154222	-1.667399272	0.059403844
100153617	1.472286149	0.002273882
100739102	1.308810456	0.019431933
100521168	1.666065489	0.003829614
100152304	1.718435576	0.000665475
100049681	1.35330902	0.037007808
100155153	2.676320393	0.011943703
100627262	1.344732	0.009132236
733621	4.973871272	9.85E-05
100523876	3.669569558	0.001074477
100525020	-1.222074133	0.013779928
100154562	-3.581983603	0.004085597
110256054	-3.581983603	0.004085597
100153346	-1.514830564	0.017977041
100157000	2.808242765	2.26E-06
100155801	-2.934745184	0.037075431
100154975	-1.468373242	0.053350542
100156192	-1.47244289	0.019254367
100158028	-1.565494316	0.096086938
100512571	-2.20674016	4.95E-06
397085	1.22639789	0.037324612
100155478	1.985637442	0.000794061
100516051	1.60998995	0.002195593
574059	-1.651737359	9.05E-05
100738627	-1.255497924	0.09616562
100155736	3.889142376	0.048350632
100312959	-1.288428053	0.072581877
100157355	-4.294105446	0.000638574
100523414	-4.944965868	0.000184097
100513511	-1.280665233	0.044618251
100514084	-1.875458797	0.000262732
100737608	-4.469631114	0.02951988
100144447	1.148551064	0.083233639
100514810	-6.336975825	0.000685313
100153561	1.404737137	0.001706931
100152773	1.716054762	0.009216545
100037999	1.829900523	0.032604031
100037999	1.315811798	0.035136618
100135668	-7.715766174	0.000339507
100127153	10.12968934	0.000175715
100155694	-1.433217481	0.038133317
100152054	1.185567016	0.059012657
606749	1.289889557	0.019246694
397362	-1.235408743	0.033497913
594849	-1.235408743	0.033497913
100155557	-1.439700188	0.020369575
100157949	-1.475908695	0.020566637
397556	1.57504652	0.011532399
100155966	-1.942232331	0.030264097
100154760	-1.905751603	0.03291186
100153076	1.332577403	0.071454753
100152312	1.2552672	0.030190094
397281	1.2552672	0.030190094
100156761	1.431972442	0.096780175
100155122	2.01393784	0.000146119
100526147	-1.879697587	0.003553069
100152345	-1.879697587	0.003553069
100153072	-2.010838678	0.030524336
100126844	-2.246320953	0.002426559
